customer_id,signup_date,plan,monthly_fee,recency_days,churn
66,2023-10-18,basic,10.0,140,1
67,2022-12-03,basic,10.0,31,0
68,2023-03-05,premium,40.0,139,1
69,2023-03-15,basic,10.0,114,0
70,2023-08-01,basic,10.0,60,0
71,2023-02-09,standard,20.0,147,1
72,2023-10-15,standard,20.0,52,1
73,2022-08-16,standard,20.0,133,0
74,2022-08-22,basic,10.0,182,0
75,2021-10-02,standard,20.0,87,0
76,2023-10-24,standard,20.0,84,0
77,2022-08-29,premium,40.0,139,0
78,2022-06-27,premium,40.0,65,0
79,2021-12-13,standard,20.0,113,0
80,2021-10-27,basic,10.0,135,0
81,2022-11-25,basic,10.0,96,0
82,2022-05-10,basic,10.0,34,0
83,2022-09-14,basic,10.0,159,0
84,2022-12-30,basic,10.0,8,0
85,2023-09-12,standard,20.0,76,0
86,2021-12-29,basic,10.0,20,0
87,2023-01-17,standard,20.0,160,1
88,2023-09-17,basic,10.0,2,0
89,2022-05-18,basic,10.0,5,0
90,2021-10-09,premium,40.0,125,0
91,2021-11-14,standard,20.0,101,0
92,2022-01-08,basic,10.0,195,0
93,2022-11-21,standard,20.0,26,0
94,2021-10-11,standard,20.0,78,0
95,2023-07-08,standard,20.0,163,0
96,2022-01-25,standard,20.0,155,1
97,2021-03-12,standard,20.0,143,1
98,2021-01-06,standard,20.0,111,1
99,2021-01-28,standard,20.0,148,0
100,2022-11-20,basic,10.0,97,0
101,2022-01-15,standard,20.0,72,1
102,2021-11-06,basic,10.0,161,0
103,2022-10-31,basic,10.0,149,1
104,2021-03-16,standard,20.0,11,0
105,2022-08-16,basic,10.0,64,0
106,2022-11-07,standard,20.0,45,0
107,2021-02-04,standard,20.0,175,1
108,2021-07-13,premium,40.0,10,0
109,2022-03-04,basic,10.0,80,1
110,2021-11-30,standard,20.0,3,0
111,2023-11-07,basic,10.0,8,0
112,2022-04-28,premium,40.0,87,1
113,2022-12-10,basic,10.0,159,1
114,2021-06-14,basic,10.0,112,0
115,2023-06-03,basic,10.0,30,0
116,2021-08-27,standard,20.0,174,0
117,2023-04-21,basic,10.0,16,0
118,2022-06-04,standard,20.0,34,0
119,2022-03-22,basic,10.0,131,0
120,2022-06-06,standard,20.0,111,1
121,2022-08-10,premium,40.0,185,1
122,2021-10-07,standard,20.0,104,0
123,2021-05-13,standard,20.0,103,1
124,2021-11-22,standard,20.0,139,0
125,2023-12-20,basic,10.0,100,1
126,2021-11-02,basic,10.0,175,0
127,2023-01-01,standard,20.0,169,1
128,2021-10-13,basic,10.0,131,0
129,2023-07-07,basic,10.0,106,1
130,2022-06-13,premium,40.0,80,0
131,2022-09-14,basic,10.0,130,0
132,2021-08-21,basic,10.0,118,1
133,2022-10-28,basic,10.0,164,0
134,2022-06-27,basic,10.0,162,0
135,2023-02-20,premium,40.0,195,0
136,2021-09-27,standard,20.0,16,0
137,2022-10-29,premium,40.0,21,0
138,2023-07-08,basic,10.0,125,1
139,2022-05-27,premium,40.0,3,0
140,2021-07-17,standard,20.0,57,0
141,2021-03-21,premium,40.0,166,0
142,2023-08-03,basic,10.0,107,0
143,2022-07-08,basic,10.0,66,0
144,2021-07-15,standard,20.0,106,0
145,2021-11-18,basic,10.0,125,0
146,2023-04-02,premium,40.0,129,0
147,2022-02-10,basic,10.0,19,0
148,2022-11-01,basic,10.0,76,0
149,2023-06-09,basic,10.0,30,0
150,2021-08-18,basic,10.0,39,1
151,2023-07-31,basic,10.0,20,0
152,2023-04-13,basic,10.0,22,0
153,2022-01-02,basic,10.0,37,0
154,2021-09-30,standard,20.0,72,0
155,2022-01-13,standard,20.0,6,0
156,2021-04-04,standard,20.0,196,1
157,2022-04-15,standard,20.0,169,0
158,2022-11-08,basic,10.0,189,0
159,2023-04-25,standard,20.0,129,0
160,2022-08-11,standard,20.0,190,1
161,2021-04-29,basic,10.0,146,1
162,2022-11-26,standard,20.0,123,1
163,2021-04-19,standard,20.0,153,1
164,2021-07-10,standard,20.0,72,0
165,2023-11-20,basic,10.0,18,0
166,2021-09-29,basic,10.0,137,0
167,2022-09-22,standard,20.0,196,0
168,2023-01-20,basic,10.0,94,0
169,2023-06-19,basic,10.0,196,0
170,2021-03-30,basic,10.0,14,0
171,2023-07-10,basic,10.0,166,0
172,2023-08-17,standard,20.0,13,0
173,2023-01-30,premium,40.0,146,1
174,2022-04-15,premium,40.0,40,0
175,2021-10-21,basic,10.0,55,0
176,2022-11-09,standard,20.0,1,0
177,2023-01-07,basic,10.0,35,0
178,2021-12-09,premium,40.0,98,0
179,2023-01-17,standard,20.0,142,1
180,2021-07-15,standard,20.0,86,0
181,2021-10-08,basic,10.0,68,0
182,2021-01-11,standard,20.0,182,1
183,2021-11-15,basic,10.0,124,0
184,2021-08-18,basic,10.0,73,0
185,2023-06-20,basic,10.0,135,0
186,2023-08-11,standard,20.0,41,1
187,2023-08-13,basic,10.0,123,0
188,2023-12-02,standard,20.0,150,1
189,2022-11-20,basic,10.0,27,0
190,2022-04-29,basic,10.0,45,0
191,2022-09-30,basic,10.0,5,0
192,2022-02-19,premium,40.0,86,0
193,2022-06-03,premium,40.0,137,0
194,2021-10-30,basic,10.0,142,1
195,2023-01-29,basic,10.0,154,0
196,2023-11-24,basic,10.0,142,1
197,2021-06-23,basic,10.0,127,1
198,2021-03-05,premium,40.0,19,0
199,2022-02-19,standard,20.0,174,1
200,2022-03-24,standard,20.0,6,0
201,2022-03-28,standard,20.0,45,0
202,2021-07-04,basic,10.0,24,0
203,2021-06-29,basic,10.0,39,1
204,2021-09-20,basic,10.0,41,0
205,2022-09-26,standard,20.0,173,0
206,2023-05-05,basic,10.0,170,0
207,2022-06-02,standard,20.0,189,0
208,2021-08-12,basic,10.0,101,1
209,2022-04-13,standard,20.0,198,1
210,2022-08-28,premium,40.0,165,0
211,2023-10-22,premium,40.0,112,0
212,2022-02-06,basic,10.0,95,1
213,2021-09-19,basic,10.0,149,1
214,2022-07-10,premium,40.0,113,0
215,2021-03-08,basic,10.0,120,1
216,2022-01-01,premium,40.0,47,0
217,2021-06-29,basic,10.0,144,1
218,2021-11-06,basic,10.0,93,0
219,2021-05-20,basic,10.0,172,0
220,2021-11-05,basic,10.0,74,1
221,2022-01-20,standard,20.0,7,0
222,2021-04-04,standard,20.0,186,1
223,2022-01-12,standard,20.0,138,1
224,2022-06-12,standard,20.0,179,0
225,2021-04-13,premium,40.0,73,0
226,2023-08-26,standard,20.0,77,0
227,2023-08-18,standard,20.0,158,0
228,2023-11-04,standard,20.0,160,0
229,2021-05-12,premium,40.0,168,0
230,2021-01-30,basic,10.0,46,0
231,2023-11-28,premium,40.0,153,0
232,2023-10-02,premium,40.0,99,0
233,2023-05-28,standard,20.0,85,1
234,2021-05-14,standard,20.0,185,1
235,2023-01-01,basic,10.0,194,0
236,2023-03-30,standard,20.0,184,0
237,2021-11-13,standard,20.0,186,0
238,2023-09-09,standard,20.0,55,0
239,2023-04-06,premium,40.0,85,0
240,2021-07-03,premium,40.0,131,0
241,2022-09-25,premium,40.0,74,1
242,2021-12-29,basic,10.0,42,0
243,2023-05-11,standard,20.0,87,1
244,2022-02-19,basic,10.0,167,0
245,2023-08-03,premium,40.0,45,1
246,2022-01-15,standard,20.0,126,0
247,2022-12-29,basic,10.0,23,0
248,2022-07-20,standard,20.0,164,0
249,2022-04-05,basic,10.0,119,0
250,2021-01-10,standard,20.0,181,0
251,2023-12-14,standard,20.0,108,0
252,2022-04-08,standard,20.0,103,0
253,2022-01-01,basic,10.0,95,0
254,2023-08-20,basic,10.0,8,0
255,2021-01-04,premium,40.0,129,0
256,2021-04-06,premium,40.0,172,1
257,2022-06-02,basic,10.0,27,1
258,2022-06-15,standard,20.0,195,0
259,2023-07-27,standard,20.0,17,0
260,2022-06-11,standard,20.0,178,0
261,2023-02-12,standard,20.0,102,0
262,2023-05-07,basic,10.0,72,0
263,2021-10-16,basic,10.0,130,0
264,2023-11-23,standard,20.0,85,0
265,2023-10-30,standard,20.0,187,1
266,2023-02-14,standard,20.0,160,0
267,2021-02-20,basic,10.0,126,0
268,2021-10-27,basic,10.0,123,1
269,2021-05-26,standard,20.0,79,0
270,2023-01-04,standard,20.0,119,0
271,2021-01-28,standard,20.0,123,0
272,2022-01-16,basic,10.0,107,0
273,2021-01-04,basic,10.0,166,1
274,2023-04-22,basic,10.0,39,0
275,2022-02-16,basic,10.0,25,0
276,2023-01-10,standard,20.0,48,1
277,2021-07-05,basic,10.0,77,0
278,2023-12-07,basic,10.0,149,0
279,2022-04-18,premium,40.0,19,0
280,2023-08-08,standard,20.0,155,1
281,2023-12-18,premium,40.0,41,0
282,2021-02-20,standard,20.0,67,0
283,2023-11-23,standard,20.0,180,1
284,2021-11-14,standard,20.0,81,1
285,2023-10-23,basic,10.0,66,0
286,2023-08-03,standard,20.0,153,0
287,2021-03-26,standard,20.0,75,1
288,2022-10-20,basic,10.0,189,0
289,2021-03-30,standard,20.0,69,0
290,2022-01-12,premium,40.0,116,0
291,2023-08-24,basic,10.0,176,0
292,2021-03-02,basic,10.0,6,0
293,2022-10-03,standard,20.0,18,0
294,2023-04-16,premium,40.0,142,0
295,2023-01-03,basic,10.0,34,0
296,2021-01-02,basic,10.0,30,0
297,2023-01-12,basic,10.0,155,1
298,2021-04-12,basic,10.0,116,0
299,2023-06-01,basic,10.0,161,1
300,2023-12-24,basic,10.0,35,0
301,2023-11-24,basic,10.0,123,0
302,2023-04-30,premium,40.0,24,0
303,2022-01-06,basic,10.0,86,1
304,2023-08-09,basic,10.0,63,1
305,2022-09-29,basic,10.0,45,1
306,2022-06-07,basic,10.0,195,0
307,2022-10-06,standard,20.0,126,0
308,2021-07-04,basic,10.0,23,0
309,2021-05-16,standard,20.0,43,0
310,2022-08-08,standard,20.0,161,0
311,2022-09-10,basic,10.0,73,1
312,2022-04-12,basic,10.0,198,1
313,2023-02-05,basic,10.0,180,1
314,2021-06-28,premium,40.0,182,1
315,2022-05-05,standard,20.0,148,0
316,2021-07-01,standard,20.0,194,0
317,2022-04-01,premium,40.0,118,0
318,2021-10-10,standard,20.0,19,0
319,2023-02-13,standard,20.0,132,1
320,2023-10-30,basic,10.0,190,1
321,2023-02-07,basic,10.0,129,1
322,2023-12-17,basic,10.0,173,1
323,2021-05-11,basic,10.0,181,1
324,2023-02-10,standard,20.0,23,1
325,2021-11-12,premium,40.0,177,0
326,2023-03-03,standard,20.0,159,0
327,2022-06-29,premium,40.0,75,1
328,2023-03-14,basic,10.0,104,1
329,2021-05-09,basic,10.0,195,0
330,2022-07-21,premium,40.0,58,0
331,2022-03-22,basic,10.0,38,0
332,2021-07-14,standard,20.0,165,0
333,2021-08-21,basic,10.0,43,0
334,2023-08-20,premium,40.0,139,0
335,2022-12-22,standard,20.0,69,0
336,2023-08-23,standard,20.0,140,0
337,2022-11-03,basic,10.0,185,1
338,2023-02-16,basic,10.0,172,1
339,2023-08-26,basic,10.0,145,1
340,2023-10-20,premium,40.0,189,0
341,2021-03-02,basic,10.0,121,0
342,2023-12-10,basic,10.0,143,1
343,2022-10-04,standard,20.0,51,0
344,2022-07-06,standard,20.0,44,0
345,2023-07-02,standard,20.0,159,1
346,2023-04-10,basic,10.0,120,1
347,2021-11-01,basic,10.0,26,0
348,2022-11-07,basic,10.0,169,1
349,2022-11-24,basic,10.0,97,1
350,2021-05-06,basic,10.0,45,0
351,2021-02-17,premium,40.0,100,0
352,2021-12-13,standard,20.0,77,1
353,2023-03-02,standard,20.0,148,0
354,2021-03-16,premium,40.0,0,0
355,2023-04-05,basic,10.0,184,0
356,2023-08-30,basic,10.0,71,0
357,2022-02-18,standard,20.0,134,0
358,2021-01-25,standard,20.0,2,0
359,2023-02-03,basic,10.0,169,1
360,2022-08-12,basic,10.0,199,1
361,2023-04-03,basic,10.0,56,0
362,2021-07-14,basic,10.0,85,0
363,2022-03-14,basic,10.0,136,0
364,2021-06-10,basic,10.0,56,0
365,2021-04-21,basic,10.0,160,1
366,2021-07-01,standard,20.0,91,1
367,2022-07-14,basic,10.0,59,0
368,2023-08-19,standard,20.0,123,1
369,2021-08-20,standard,20.0,60,1
370,2022-06-26,basic,10.0,85,0
371,2022-12-14,basic,10.0,69,0
372,2022-01-09,standard,20.0,180,1
373,2021-01-05,basic,10.0,115,1
374,2023-12-31,basic,10.0,168,0
375,2023-01-26,basic,10.0,3,0
376,2022-08-21,premium,40.0,194,1
377,2022-01-01,basic,10.0,182,1
378,2021-11-29,standard,20.0,58,0
379,2021-12-09,premium,40.0,110,1
380,2022-02-10,basic,10.0,54,0
381,2022-10-29,premium,40.0,88,1
382,2023-02-01,basic,10.0,146,1
383,2023-04-12,basic,10.0,180,0
384,2021-05-12,basic,10.0,88,0
385,2021-12-16,basic,10.0,48,0
386,2023-04-11,basic,10.0,67,0
387,2023-01-15,basic,10.0,155,1
388,2023-08-26,standard,20.0,140,1
389,2021-05-21,basic,10.0,112,1
390,2022-06-05,basic,10.0,57,0
391,2021-08-26,basic,10.0,149,1
392,2022-04-24,standard,20.0,134,0
393,2023-04-17,basic,10.0,186,1
394,2021-06-06,standard,20.0,116,0
395,2022-07-10,basic,10.0,169,1
396,2022-04-08,standard,20.0,86,0
397,2021-02-12,premium,40.0,27,0
398,2023-04-18,basic,10.0,68,0
399,2023-06-04,basic,10.0,93,0
400,2022-03-30,standard,20.0,46,0
401,2021-04-05,standard,20.0,30,0
402,2022-11-10,basic,10.0,5,0
403,2023-12-30,basic,10.0,198,1
404,2021-02-17,premium,40.0,8,0
405,2022-03-02,premium,40.0,113,0
406,2021-08-29,standard,20.0,7,0
407,2023-11-15,standard,20.0,63,0
408,2021-08-12,basic,10.0,172,1
409,2023-08-17,basic,10.0,65,0
410,2023-12-11,basic,10.0,149,0
411,2023-05-24,basic,10.0,7,0
412,2021-02-18,standard,20.0,4,0
413,2021-05-11,basic,10.0,41,0
414,2021-08-24,basic,10.0,33,0
415,2023-10-31,premium,40.0,152,0
416,2021-02-04,basic,10.0,31,0
417,2022-12-17,standard,20.0,26,0
418,2022-12-02,standard,20.0,161,0
419,2022-01-06,premium,40.0,122,0
420,2022-12-17,premium,40.0,24,0
421,2021-01-24,premium,40.0,138,1
422,2022-01-14,standard,20.0,19,0
423,2023-05-16,premium,40.0,113,1
424,2021-02-09,basic,10.0,82,0
425,2022-11-10,basic,10.0,113,0
426,2022-04-22,standard,20.0,135,0
427,2023-09-09,standard,20.0,82,0
428,2021-07-07,basic,10.0,124,1
429,2023-11-05,standard,20.0,112,0
430,2022-04-13,standard,20.0,160,1
431,2022-11-06,premium,40.0,19,0
432,2022-02-13,standard,20.0,171,0
433,2023-03-25,standard,20.0,143,0
434,2021-08-31,standard,20.0,63,0
435,2023-02-07,basic,10.0,34,0
436,2023-07-11,basic,10.0,150,0
437,2022-09-04,basic,10.0,82,0
438,2023-01-29,standard,20.0,193,1
439,2022-06-12,basic,10.0,146,1
440,2022-05-31,basic,10.0,141,0
441,2022-05-25,premium,40.0,142,1
442,2022-03-14,standard,20.0,166,0
443,2023-08-18,standard,20.0,172,1
444,2021-04-30,standard,20.0,171,0
445,2023-11-20,basic,10.0,29,0
446,2022-10-23,basic,10.0,7,0
447,2021-11-26,premium,40.0,139,0
448,2022-07-07,basic,10.0,157,0
449,2022-09-17,basic,10.0,37,1
450,2023-09-19,premium,40.0,48,0
451,2023-07-05,basic,10.0,144,1
452,2023-11-27,basic,10.0,33,1
453,2021-04-23,basic,10.0,7,0
454,2023-06-06,basic,10.0,23,0
455,2023-12-21,basic,10.0,176,0
456,2023-08-08,basic,10.0,99,0
457,2021-11-15,basic,10.0,171,1
458,2022-06-27,standard,20.0,116,0
459,2023-03-13,standard,20.0,110,0
460,2022-02-14,standard,20.0,196,0
461,2021-12-12,basic,10.0,36,0
462,2022-06-09,basic,10.0,187,0
463,2023-07-28,standard,20.0,3,0
464,2022-08-05,standard,20.0,54,0
465,2022-05-12,standard,20.0,79,0
466,2023-06-15,premium,40.0,141,0
467,2021-04-12,standard,20.0,32,0
468,2021-06-15,premium,40.0,126,1
469,2021-10-28,standard,20.0,18,0
470,2022-10-20,standard,20.0,3,0
471,2022-01-14,standard,20.0,172,0
472,2023-09-20,premium,40.0,183,1
473,2022-05-04,standard,20.0,6,0
474,2021-09-01,basic,10.0,60,0
475,2022-06-29,standard,20.0,48,0
476,2021-11-12,basic,10.0,54,0
477,2023-11-25,standard,20.0,197,0
478,2023-07-12,premium,40.0,197,0
479,2023-03-06,standard,20.0,110,1
480,2022-12-15,basic,10.0,191,1
481,2021-01-15,basic,10.0,184,1
482,2023-11-24,premium,40.0,146,0
483,2022-11-19,basic,10.0,180,1
484,2022-12-05,standard,20.0,61,0
485,2022-08-26,basic,10.0,81,0
486,2023-11-06,basic,10.0,38,0
487,2022-01-21,premium,40.0,106,0
488,2023-06-25,basic,10.0,0,0
489,2023-11-05,basic,10.0,103,1
490,2023-01-09,basic,10.0,107,1
491,2023-08-24,basic,10.0,167,1
492,2021-07-28,standard,20.0,175,0
493,2021-04-26,premium,40.0,69,1
494,2021-08-22,basic,10.0,88,1
495,2021-06-11,premium,40.0,168,1
496,2023-08-04,basic,10.0,192,0
497,2022-02-18,standard,20.0,45,1
498,2022-01-01,basic,10.0,3,0
499,2023-04-09,basic,10.0,39,0
500,2023-01-22,basic,10.0,108,1
501,2023-12-29,standard,20.0,118,0
502,2022-04-22,basic,10.0,48,0
503,2021-02-13,premium,40.0,38,0
504,2022-05-18,standard,20.0,57,0
505,2021-04-02,basic,10.0,159,0
506,2021-01-12,basic,10.0,185,1
507,2022-02-08,basic,10.0,88,1
508,2023-06-20,basic,10.0,136,1
509,2021-06-16,basic,10.0,170,0
510,2021-12-08,standard,20.0,150,0
511,2022-09-28,basic,10.0,7,0
512,2022-01-05,basic,10.0,32,1
513,2021-07-12,basic,10.0,12,0
514,2021-03-20,standard,20.0,9,0
515,2023-04-19,premium,40.0,108,0
516,2022-11-15,standard,20.0,45,0
517,2022-03-17,basic,10.0,50,0
518,2023-05-03,basic,10.0,98,0
519,2022-04-03,standard,20.0,90,0
520,2022-07-14,basic,10.0,48,1
521,2023-06-10,standard,20.0,131,1
522,2022-06-08,basic,10.0,119,1
523,2022-10-11,premium,40.0,6,0
524,2023-04-26,standard,20.0,99,1
525,2022-07-14,basic,10.0,171,1
526,2021-04-16,basic,10.0,197,0
527,2021-02-18,standard,20.0,32,0
528,2022-08-16,basic,10.0,159,0
529,2021-09-04,basic,10.0,156,0
530,2023-04-01,basic,10.0,91,1
531,2022-05-13,standard,20.0,86,0
532,2022-02-06,premium,40.0,67,0
533,2023-07-12,basic,10.0,168,1
534,2023-08-18,standard,20.0,41,0
535,2021-02-13,standard,20.0,20,0
536,2022-05-16,basic,10.0,162,0
537,2022-07-07,standard,20.0,104,1
538,2021-05-07,standard,20.0,111,0
539,2023-10-26,basic,10.0,76,0
540,2023-12-06,basic,10.0,167,1
541,2023-12-18,standard,20.0,152,1
542,2022-05-15,standard,20.0,16,0
543,2021-04-22,basic,10.0,35,0
544,2023-04-05,premium,40.0,146,0
545,2023-03-25,premium,40.0,168,0
546,2021-03-27,standard,20.0,25,0
547,2022-10-28,basic,10.0,133,0
548,2023-06-05,premium,40.0,48,0
549,2021-02-10,standard,20.0,77,0
550,2021-06-16,basic,10.0,100,0
551,2023-01-19,standard,20.0,136,1
552,2021-05-17,standard,20.0,9,0
553,2022-07-27,basic,10.0,169,0
554,2021-10-30,basic,10.0,123,0
555,2021-02-03,basic,10.0,143,0
556,2022-04-11,standard,20.0,119,1
557,2022-05-23,basic,10.0,148,0
558,2022-06-16,basic,10.0,34,0
559,2021-02-05,basic,10.0,30,0
560,2022-04-14,standard,20.0,37,0
561,2022-06-15,basic,10.0,196,1
562,2021-02-07,basic,10.0,161,0
563,2021-03-20,premium,40.0,81,0
564,2022-10-16,standard,20.0,186,1
565,2021-03-01,basic,10.0,179,0
566,2023-03-24,premium,40.0,175,1
567,2022-07-29,basic,10.0,24,0
568,2023-12-08,basic,10.0,127,0
569,2023-11-10,standard,20.0,72,0
570,2022-08-30,standard,20.0,131,0
571,2023-04-15,standard,20.0,138,0
572,2023-10-18,premium,40.0,179,0
573,2021-09-14,basic,10.0,86,0
574,2023-11-09,standard,20.0,125,0
575,2023-04-04,basic,10.0,141,0
576,2021-08-21,standard,20.0,112,0
577,2021-03-07,standard,20.0,188,1
578,2021-03-14,basic,10.0,27,0
579,2023-10-19,basic,10.0,65,0
580,2021-07-05,basic,10.0,28,0
581,2021-01-22,basic,10.0,63,0
582,2023-03-27,standard,20.0,16,0
583,2023-03-01,basic,10.0,99,0
584,2021-10-13,basic,10.0,47,0
585,2022-01-05,basic,10.0,176,1
586,2021-05-03,standard,20.0,131,1
587,2022-01-02,basic,10.0,144,0
588,2023-10-31,premium,40.0,135,0
589,2022-06-05,basic,10.0,22,0
590,2023-01-19,basic,10.0,65,0
591,2022-03-23,basic,10.0,150,0
592,2023-11-16,premium,40.0,87,0
593,2021-11-11,premium,40.0,153,1
594,2021-12-27,basic,10.0,9,1
595,2022-12-31,premium,40.0,111,0
596,2021-07-30,standard,20.0,27,0
597,2021-01-14,basic,10.0,28,0
598,2021-05-30,premium,40.0,109,1
599,2022-10-20,standard,20.0,155,1
600,2023-10-30,basic,10.0,15,0
601,2022-05-21,premium,40.0,139,0
602,2021-06-29,standard,20.0,143,0
603,2023-10-05,standard,20.0,99,0
604,2023-05-29,basic,10.0,90,0
605,2023-05-19,basic,10.0,163,0
606,2021-08-20,basic,10.0,24,0
607,2021-06-30,standard,20.0,1,0
608,2023-08-03,standard,20.0,124,1
609,2023-12-10,standard,20.0,174,0
610,2021-03-04,basic,10.0,134,1
611,2021-06-01,standard,20.0,40,0
612,2022-02-22,basic,10.0,56,0
613,2023-10-30,premium,40.0,16,0
614,2022-03-17,standard,20.0,111,0
615,2021-08-19,basic,10.0,51,0
616,2023-12-05,standard,20.0,138,0
617,2022-03-22,basic,10.0,0,0
618,2023-09-11,standard,20.0,23,0
619,2022-05-20,premium,40.0,105,0
620,2022-02-25,standard,20.0,184,1
621,2021-04-24,standard,20.0,31,0
622,2022-04-11,standard,20.0,81,0
623,2022-12-07,basic,10.0,120,1
624,2023-02-23,basic,10.0,118,0
625,2021-01-07,standard,20.0,13,0
626,2022-12-02,basic,10.0,69,0
627,2022-09-28,basic,10.0,104,1
628,2023-09-07,basic,10.0,36,0
629,2023-07-14,basic,10.0,100,1
630,2023-01-23,standard,20.0,51,0
631,2022-10-08,standard,20.0,117,1
632,2022-07-19,premium,40.0,154,0
633,2023-07-02,premium,40.0,3,0
634,2023-09-14,standard,20.0,153,1
635,2021-08-17,premium,40.0,148,0
636,2021-12-29,premium,40.0,10,0
637,2022-06-13,standard,20.0,127,0
638,2022-02-07,standard,20.0,71,0
639,2021-07-15,standard,20.0,23,0
640,2022-01-20,standard,20.0,57,1
641,2022-11-17,basic,10.0,86,1
642,2022-06-21,standard,20.0,56,0
643,2022-08-21,basic,10.0,89,0
644,2021-02-08,standard,20.0,88,0
645,2022-12-16,basic,10.0,27,0
646,2022-05-11,basic,10.0,89,0
647,2023-11-19,premium,40.0,159,0
648,2021-12-13,standard,20.0,5,0
649,2022-07-18,basic,10.0,30,0
650,2021-09-24,basic,10.0,136,0
651,2022-07-07,basic,10.0,139,0
652,2021-09-28,basic,10.0,24,0
653,2021-05-07,standard,20.0,182,0
654,2023-05-24,basic,10.0,173,0
655,2022-07-13,standard,20.0,11,0
656,2022-02-27,standard,20.0,11,0
657,2021-09-09,standard,20.0,156,0
658,2023-12-10,basic,10.0,186,0
659,2022-08-22,standard,20.0,143,0
660,2022-03-28,basic,10.0,15,0
661,2023-05-21,basic,10.0,37,0
662,2023-02-03,basic,10.0,27,0
663,2021-12-07,premium,40.0,142,0
664,2021-12-01,basic,10.0,159,0
665,2022-11-29,basic,10.0,194,1
666,2023-06-25,basic,10.0,57,0
667,2022-01-20,premium,40.0,54,0
668,2021-08-22,standard,20.0,146,1
669,2021-12-01,standard,20.0,48,0
670,2021-10-29,basic,10.0,193,0
671,2022-10-03,basic,10.0,97,0
672,2021-11-17,basic,10.0,176,0
673,2023-11-12,premium,40.0,10,0
674,2021-05-22,standard,20.0,41,0
675,2022-01-31,basic,10.0,157,0
676,2023-04-02,standard,20.0,33,0
677,2021-08-01,standard,20.0,121,1
678,2022-04-18,standard,20.0,79,0
679,2022-09-12,standard,20.0,50,1
680,2021-05-18,standard,20.0,79,0
681,2022-10-08,basic,10.0,133,0
682,2022-08-11,basic,10.0,42,0
683,2023-02-13,premium,40.0,45,0
684,2022-06-19,premium,40.0,12,0
685,2023-04-21,basic,10.0,61,0
686,2022-07-08,basic,10.0,173,1
687,2022-10-13,basic,10.0,127,1
688,2023-02-20,basic,10.0,146,1
689,2023-02-17,basic,10.0,20,0
690,2021-03-14,basic,10.0,45,1
691,2022-02-28,standard,20.0,168,0
692,2022-06-23,standard,20.0,87,0
693,2022-10-25,basic,10.0,170,1
694,2021-02-26,premium,40.0,0,0
695,2021-03-19,basic,10.0,197,0
696,2023-12-05,basic,10.0,153,0
697,2021-04-04,basic,10.0,34,0
