customer_id,ticket_date,issue_type,resolution_days
823,2023-08-20,general,2
825,2023-04-21,billing,6
829,2023-12-04,billing,2
837,2023-03-11,billing,6
841,2021-12-06,technical,6
854,2023-11-26,technical,9
855,2023-11-03,general,8
855,2023-10-31,technical,5
856,2023-11-17,technical,9
863,2023-11-17,general,8
867,2023-04-14,technical,3
878,2022-12-18,general,6
879,2023-10-25,technical,0
880,2023-06-29,technical,7
888,2022-05-12,technical,1
892,2023-07-16,billing,1
893,2023-04-25,general,0
898,2022-08-02,general,9
921,2022-10-03,billing,7
922,2023-12-14,technical,6
926,2023-10-24,technical,3
926,2021-08-16,general,3
930,2023-11-12,billing,0
931,2023-08-21,technical,8
934,2021-12-17,general,9
940,2023-03-15,technical,3
945,2023-08-07,general,0
946,2023-06-20,general,0
947,2023-01-19,technical,8
947,2021-04-16,general,8
955,2022-11-12,technical,2
959,2023-06-16,general,9
962,2023-05-21,billing,8
963,2023-12-16,technical,0
965,2023-08-11,billing,6
967,2022-08-17,technical,3
969,2023-02-02,technical,2
973,2023-07-18,general,9
975,2022-10-17,technical,9
979,2022-01-06,technical,9
980,2023-03-20,technical,2
999,2023-10-05,billing,9
1000,2023-04-24,billing,2
1010,2023-12-27,technical,1
1014,2023-12-01,technical,3
1021,2022-12-27,billing,0
1022,2023-10-06,general,8
1027,2023-03-06,general,5
1042,2023-02-26,general,1
1050,2023-06-27,general,1
1064,2023-04-13,billing,6
1075,2022-09-12,general,5
1076,2022-10-08,billing,8
1084,2022-12-28,general,1
1087,2023-11-05,billing,1
1088,2023-09-18,technical,1
1089,2023-08-18,technical,2
1090,2023-10-11,technical,6
1121,2022-12-22,technical,7
1132,2022-12-08,general,3
1132,2023-03-09,technical,3
1140,2022-04-23,general,4
1143,2023-08-21,general,1
1155,2023-11-10,technical,7
1166,2022-07-23,general,0
1169,2023-07-26,billing,3
1175,2023-02-20,general,9
1178,2023-08-18,general,3
1194,2021-10-06,general,5
1243,2023-03-05,billing,4
1254,2022-09-22,general,8
1254,2022-08-30,billing,4
1268,2022-05-23,billing,4
1276,2023-01-30,general,3
1280,2023-07-17,general,2
1282,2023-01-20,billing,8
1288,2023-05-21,technical,7
1300,2023-08-20,billing,2
1305,2023-12-21,billing,3
1308,2023-11-06,general,7
1324,2023-11-06,technical,7
1335,2023-09-26,technical,3
1347,2023-10-25,billing,9
1355,2023-12-13,technical,3
1361,2023-11-25,billing,4
1363,2022-09-25,billing,3
1372,2023-12-09,general,3
1375,2023-01-29,technical,1
1385,2021-09-15,technical,6
1394,2022-10-19,technical,4
1406,2023-07-19,technical,4
1408,2023-05-03,billing,9
1409,2022-08-13,general,4
1411,2022-12-09,billing,2
1417,2023-09-28,general,6
1431,2023-11-27,billing,6
1437,2023-10-28,general,7
1437,2021-03-31,technical,6
1440,2022-03-18,general,1
1440,2022-08-12,technical,2
1443,2023-05-28,general,1
1443,2023-12-04,general,2
1444,2023-10-23,billing,1
1446,2023-09-18,billing,5
1453,2021-11-07,technical,8
1457,2023-03-05,billing,2
1460,2022-08-10,billing,5
1466,2021-04-10,general,9
1467,2023-12-29,billing,5
1491,2023-11-30,technical,7
1500,2023-12-07,general,7
1501,2023-06-10,billing,8
1510,2023-07-03,technical,7
1514,2022-11-14,technical,7
1516,2023-04-04,technical,7
1518,2023-05-19,technical,5
1524,2023-11-24,billing,0
1524,2023-11-22,general,4
1534,2023-03-02,billing,6
1557,2024-01-02,technical,1
1559,2023-04-14,general,5
1562,2023-09-22,technical,1
1566,2023-10-20,general,7
1571,2023-08-14,technical,0
1577,2022-11-10,general,8
1599,2023-11-03,technical,3
1615,2023-09-26,general,1
1621,2023-01-03,general,2
1623,2021-09-12,technical,2
1624,2023-10-12,billing,6
1627,2023-11-01,technical,9
1633,2023-08-09,general,6
1639,2023-11-30,technical,3
1650,2023-04-25,general,0
1650,2023-04-21,billing,8
1655,2023-07-28,technical,3
1660,2022-08-03,billing,3
1672,2023-09-20,billing,3
1672,2023-02-03,billing,0
1682,2023-08-09,technical,0
1689,2023-03-28,general,1
1696,2023-03-15,billing,0
1715,2023-11-07,general,4
1728,2021-08-02,billing,9
1739,2022-09-21,billing,8
1741,2023-09-19,technical,9
1750,2022-08-23,technical,8
1766,2022-04-27,general,7
1772,2023-06-29,technical,5
1774,2023-03-08,technical,6
1778,2023-01-01,technical,9
1782,2022-01-03,technical,7
1816,2022-10-16,billing,4
1820,2022-08-19,technical,7
1821,2023-01-06,billing,0
1842,2022-12-01,general,9
1851,2023-10-15,technical,5
1855,2022-07-15,technical,7
1863,2022-07-03,technical,0
1869,2023-10-11,general,8
1874,2023-03-31,technical,3
1878,2022-11-18,general,4
1879,2023-07-16,billing,3
1896,2023-02-19,general,4
1922,2023-08-29,technical,1
1923,2023-08-07,billing,4
1946,2023-12-31,technical,2
1948,2023-11-03,technical,1
1949,2023-09-07,general,8
1955,2023-06-01,billing,8
1959,2023-09-21,billing,0
1975,2023-06-30,general,4
1980,2023-10-10,general,9
1986,2023-10-27,technical,8
1993,2023-05-13,technical,9
2004,2024-01-11,technical,2
2013,2022-11-03,technical,5
2036,2022-06-02,billing,6
2079,2022-06-23,billing,6
2085,2022-04-01,billing,2
2086,2023-05-03,billing,6
2093,2023-02-12,technical,1
2095,2022-03-15,technical,7
2097,2023-09-04,general,0
2118,2023-10-31,technical,0
2119,2023-08-05,technical,8
2142,2023-11-18,billing,9
2144,2023-09-24,billing,6
2148,2023-07-01,billing,5
2149,2023-04-22,billing,5
2150,2022-10-13,technical,8
2162,2023-01-09,technical,2
2174,2023-10-04,billing,8
2179,2022-12-09,technical,0
2185,2023-11-28,general,7
2187,2023-05-24,technical,0
2193,2023-03-01,technical,1
2205,2022-09-04,billing,8
2222,2023-01-26,billing,0
2225,2021-04-17,billing,4
2232,2023-09-16,billing,0
2237,2021-11-16,billing,5
2239,2023-06-23,general,7
2240,2022-11-13,general,9
2246,2021-08-29,general,0
2259,2022-03-08,general,2
2259,2022-06-03,general,3
2264,2023-04-03,billing,3
2271,2023-11-20,general,2
2274,2022-10-04,technical,5
2283,2023-11-06,general,3
2291,2023-10-07,billing,0
2292,2023-12-20,technical,6
2295,2023-06-16,general,7
2298,2023-05-19,billing,2
2305,2022-11-09,technical,4
2306,2023-08-21,general,1
2313,2023-07-03,technical,5
2315,2023-03-18,billing,9
2316,2023-10-19,billing,4
2321,2023-07-23,billing,5
2342,2023-11-13,billing,6
2342,2023-11-26,billing,1
2344,2023-06-11,technical,8
2348,2023-06-02,general,5
2353,2022-08-14,technical,9
2361,2023-02-01,general,6
2369,2023-08-06,technical,5
2374,2023-09-18,general,2
2386,2022-08-22,billing,1
2388,2022-05-23,general,2
2389,2023-09-09,technical,3
2392,2023-12-02,billing,5
2393,2022-07-26,technical,2
2394,2022-01-24,billing,7
2399,2022-12-26,general,5
2410,2021-05-28,technical,3
2416,2022-10-27,technical,0
2424,2023-05-01,billing,6
2429,2021-11-30,general,9
2437,2023-11-08,billing,3
2448,2023-09-15,general,3
2453,2023-12-02,technical,0
2457,2023-11-11,technical,7
2471,2022-11-27,general,5
2505,2023-08-23,technical,1
2507,2023-02-05,technical,9
2513,2023-10-06,technical,2
2527,2023-10-29,billing,9
2528,2023-11-12,technical,8
2529,2022-02-22,technical,6
2531,2022-12-25,technical,0
2533,2022-04-18,technical,2
2534,2022-12-17,billing,5
2540,2022-10-24,general,8
2549,2021-04-12,billing,2
2552,2023-11-16,billing,7
2554,2021-11-04,billing,4
2555,2022-11-30,general,8
2556,2022-12-31,billing,0
2557,2022-10-13,technical,2
2557,2023-06-07,billing,1
2560,2023-08-12,general,8
2565,2023-12-20,technical,3
2574,2023-01-21,billing,3
2576,2022-06-20,general,1
2583,2022-06-18,billing,5
2584,2023-12-13,technical,4
2585,2023-09-17,technical,9
2601,2023-09-25,billing,6
2615,2023-02-23,general,7
2624,2023-09-20,billing,1
2630,2022-10-31,general,0
2634,2023-11-21,general,2
2639,2021-12-04,billing,4
2647,2021-10-06,technical,2
2648,2023-12-10,technical,4
2649,2023-04-10,general,2
2658,2023-09-24,general,8
2661,2023-05-29,technical,0
2662,2023-11-02,general,1
2666,2023-05-13,technical,2
2670,2023-10-17,general,0
2671,2021-11-24,general,5
2687,2023-04-02,technical,9
2689,2021-08-05,billing,8
2690,2023-12-02,billing,5
2712,2022-09-05,general,6
2716,2022-12-08,technical,2
2724,2023-11-11,general,4
2738,2021-08-14,billing,4
2740,2023-05-29,general,8
2742,2022-09-14,general,5
2743,2023-06-09,technical,2
2745,2023-02-26,billing,1
2751,2023-07-24,technical,1
2751,2023-10-01,technical,5
2752,2022-12-20,general,2
2753,2023-07-20,general,5
2766,2021-10-06,technical,4
2768,2023-05-14,billing,9
2782,2023-04-08,billing,1
2784,2022-10-29,billing,8
2786,2023-12-20,billing,0
2790,2021-07-23,technical,8
2791,2023-04-28,billing,5
2795,2023-10-30,general,3
2799,2022-10-23,general,1
2804,2023-07-30,billing,6
2807,2022-11-28,technical,4
2808,2022-02-20,billing,2
2819,2023-06-03,billing,2
2819,2023-05-19,technical,0
2825,2023-10-11,billing,5
2826,2023-11-19,billing,5
2839,2023-05-13,billing,8
2840,2023-11-15,technical,6
2849,2023-02-21,technical,1
2868,2023-05-15,general,1
2868,2023-01-25,general,6
2880,2023-10-15,general,6
2882,2023-08-06,technical,3
2883,2023-08-04,billing,1
2885,2023-11-22,general,2
2887,2023-08-20,technical,2
2893,2023-12-23,technical,4
2909,2023-10-01,billing,8
2912,2023-05-28,billing,4
2912,2023-03-27,general,2
2912,2023-08-09,billing,2
2914,2023-04-08,technical,7
2916,2023-03-22,technical,0
2918,2023-11-18,general,1
2937,2023-06-15,billing,4
2942,2023-01-29,general,4
2953,2022-07-22,billing,9
2957,2023-12-17,technical,3
2959,2023-06-01,billing,2
2968,2023-06-19,billing,7
2969,2023-12-04,billing,2
2982,2023-05-10,general,0
2985,2023-07-05,technical,0
2998,2023-11-15,billing,4
