customer_id,plan,monthly_fee,total_amount,trans_count,recency_days,recency_days_tx,logins_7d,logins_30d,logins_90d,tickets,avg_resolution,tenure_days,churn
93,standard,20.0,220.0,11,26,104,0,2,11,0,0.0,406,0
94,standard,20.0,520.0,26,78,60,1,2,6,0,0.0,812,0
95,standard,20.0,60.0,3,163,108,0,0,5,0,0.0,177,0
96,standard,20.0,460.0,23,155,43,0,0,7,0,0.0,706,1
97,standard,20.0,660.0,33,143,59,0,1,5,0,0.0,1025,1
98,standard,20.0,720.0,36,111,35,0,0,1,0,0.0,1090,1
99,standard,20.0,700.0,35,148,43,0,2,5,0,0.0,1068,0
100,basic,10.0,130.0,13,97,41,0,3,6,1,6.0,407,0
101,standard,20.0,460.0,23,72,51,0,2,4,0,0.0,716,1
102,basic,10.0,260.0,26,161,27,0,3,9,0,0.0,786,0
103,basic,10.0,140.0,14,149,32,0,2,3,0,0.0,427,1
104,standard,20.0,640.0,32,11,88,0,1,6,0,0.0,1021,0
105,basic,10.0,140.0,14,64,107,0,0,2,0,0.0,503,0
106,standard,20.0,280.0,14,45,21,0,3,7,0,0.0,420,0
107,standard,20.0,680.0,34,175,62,0,0,3,1,2.0,1061,1
108,premium,40.0,1120.0,28,10,85,0,0,1,0,0.0,902,0
109,basic,10.0,200.0,20,80,98,0,2,3,0,0.0,668,1
110,standard,20.0,500.0,25,3,41,0,1,3,0,0.0,762,0
111,basic,10.0,10.0,1,8,55,0,0,1,0,0.0,55,0
112,premium,40.0,800.0,20,87,34,0,2,6,0,0.0,613,1
113,basic,10.0,110.0,11,159,86,0,0,6,0,0.0,387,1
114,basic,10.0,300.0,30,112,60,0,1,4,0,0.0,931,0
115,basic,10.0,50.0,5,30,87,0,0,5,0,0.0,212,0
116,standard,20.0,520.0,26,174,100,0,1,2,0,0.0,857,0
117,basic,10.0,70.0,7,16,68,0,0,3,2,4.5,255,0
118,standard,20.0,340.0,17,34,88,0,1,6,0,0.0,576,0
119,basic,10.0,210.0,21,131,42,0,1,4,0,0.0,650,0
120,standard,20.0,360.0,18,111,59,0,1,7,0,0.0,574,1
121,premium,40.0,600.0,15,185,88,0,0,3,0,0.0,509,1
122,standard,20.0,500.0,25,104,88,0,0,6,0,0.0,816,0
123,standard,20.0,600.0,30,103,84,1,2,4,0,0.0,963,1
124,standard,20.0,480.0,24,139,72,0,3,7,0,0.0,770,0
125,basic,10.0,10.0,1,100,7,1,1,1,0,0.0,12,1
126,basic,10.0,240.0,24,175,94,0,1,3,1,2.0,790,0
127,standard,20.0,200.0,10,169,89,0,2,6,1,9.0,365,1
128,basic,10.0,250.0,25,131,90,0,2,7,0,0.0,810,0
129,basic,10.0,30.0,3,106,118,0,0,3,0,0.0,178,1
130,premium,40.0,680.0,17,80,84,0,0,4,0,0.0,567,0
131,basic,10.0,150.0,15,130,52,0,0,5,0,0.0,474,0
132,basic,10.0,270.0,27,118,75,0,2,6,0,0.0,863,1
133,basic,10.0,130.0,13,164,61,0,3,7,0,0.0,430,0
134,basic,10.0,160.0,16,162,97,0,1,5,0,0.0,553,0
135,premium,40.0,400.0,10,195,41,0,2,7,0,0.0,315,0
136,standard,20.0,520.0,26,16,73,0,4,8,1,8.0,826,0
137,premium,40.0,560.0,14,21,38,0,2,7,0,0.0,429,0
138,basic,10.0,40.0,4,125,86,0,0,3,1,3.0,177,1
139,premium,40.0,680.0,17,3,98,0,3,10,0,0.0,584,0
140,standard,20.0,560.0,28,57,87,0,0,5,0,0.0,898,0
141,premium,40.0,1280.0,32,166,82,0,1,4,0,0.0,1016,0
142,basic,10.0,30.0,3,107,90,1,1,2,0,0.0,151,0
143,basic,10.0,180.0,18,66,26,0,1,5,0,0.0,542,0
144,standard,20.0,600.0,30,106,28,2,2,7,0,0.0,900,0
145,basic,10.0,240.0,24,125,77,0,1,6,0,0.0,774,0
146,premium,40.0,280.0,7,129,85,0,2,2,0,0.0,274,0
147,basic,10.0,220.0,22,19,60,0,1,11,0,0.0,690,0
148,basic,10.0,120.0,12,76,91,0,1,8,1,0.0,426,0
149,basic,10.0,60.0,6,30,53,0,0,2,0,0.0,206,0
150,basic,10.0,260.0,26,39,111,0,0,3,0,0.0,866,1
151,basic,10.0,30.0,3,20,90,0,2,6,0,0.0,154,0
152,basic,10.0,60.0,6,22,113,0,2,10,0,0.0,263,0
153,basic,10.0,230.0,23,37,60,0,0,2,0,0.0,729,0
154,standard,20.0,500.0,25,72,102,0,0,4,0,0.0,823,0
155,standard,20.0,460.0,23,6,58,0,0,4,0,0.0,718,0
156,standard,20.0,640.0,32,196,69,0,0,4,0,0.0,1002,1
157,standard,20.0,360.0,18,169,108,0,0,4,0,0.0,626,0
158,basic,10.0,110.0,11,189,116,0,0,6,0,0.0,419,0
159,standard,20.0,140.0,7,129,62,0,1,4,0,0.0,251,0
160,standard,20.0,300.0,15,190,83,0,0,9,0,0.0,508,1
161,basic,10.0,320.0,32,146,41,0,0,2,0,0.0,977,1
162,standard,20.0,220.0,11,123,100,0,1,7,0,0.0,401,1
163,standard,20.0,620.0,31,153,82,0,0,5,0,0.0,987,1
164,standard,20.0,560.0,28,72,88,0,3,9,0,0.0,905,0
165,basic,10.0,10.0,1,18,35,0,1,2,0,0.0,42,0
166,basic,10.0,270.0,27,137,35,0,1,4,0,0.0,824,0
167,standard,20.0,300.0,15,196,46,0,1,5,2,6.5,466,0
168,basic,10.0,110.0,11,94,41,0,0,4,0,0.0,346,0
169,basic,10.0,60.0,6,196,41,0,0,4,0,0.0,196,0
170,basic,10.0,330.0,33,14,42,0,1,4,0,0.0,1007,0
171,basic,10.0,30.0,3,166,109,0,1,2,1,3.0,175,0
172,standard,20.0,80.0,4,13,41,0,0,7,0,0.0,137,0
173,premium,40.0,440.0,11,146,36,1,2,4,0,0.0,336,1
174,premium,40.0,760.0,19,40,82,0,1,5,1,3.0,626,0
175,basic,10.0,250.0,25,55,76,0,0,2,0,0.0,802,0
176,standard,20.0,220.0,11,1,118,0,0,4,0,0.0,418,0
177,basic,10.0,100.0,10,35,81,0,1,6,0,0.0,359,0
178,premium,40.0,1000.0,25,98,29,0,4,6,0,0.0,753,0
179,standard,20.0,180.0,9,142,109,0,1,4,0,0.0,349,1
180,standard,20.0,600.0,30,86,22,3,4,6,1,4.0,900,0
181,basic,10.0,270.0,27,68,28,0,3,9,0,0.0,815,0
182,standard,20.0,680.0,34,182,88,0,4,6,1,9.0,1085,1
183,basic,10.0,240.0,24,124,83,0,0,1,0,0.0,777,0
184,basic,10.0,270.0,27,73,83,0,0,1,0,0.0,866,0
185,basic,10.0,60.0,6,135,38,0,3,9,0,0.0,195,0
186,standard,20.0,40.0,2,41,111,0,0,3,0,0.0,143,1
187,basic,10.0,20.0,2,123,107,0,0,5,0,0.0,141,0
188,standard,20.0,20.0,1,150,23,1,2,2,0,0.0,30,1
189,basic,10.0,110.0,11,27,107,0,1,4,0,0.0,407,0
190,basic,10.0,190.0,19,45,66,0,1,6,0,0.0,612,0
191,basic,10.0,150.0,15,5,34,0,2,2,0,0.0,458,0
192,premium,40.0,880.0,22,86,47,0,0,3,0,0.0,681,0
193,premium,40.0,720.0,18,137,67,0,0,3,0,0.0,577,0
194,basic,10.0,260.0,26,142,35,0,0,3,1,3.0,793,1
195,basic,10.0,100.0,10,154,58,0,1,4,0,0.0,337,0
196,basic,10.0,10.0,1,142,35,0,0,2,0,0.0,38,1
197,basic,10.0,290.0,29,127,80,0,1,5,0,0.0,922,1
198,premium,40.0,1280.0,32,19,94,0,0,5,0,0.0,1032,0
199,standard,20.0,440.0,22,174,44,0,0,3,0,0.0,681,1
200,standard,20.0,420.0,21,6,48,0,1,5,0,0.0,648,0
201,standard,20.0,400.0,20,45,65,0,0,4,0,0.0,644,0
202,basic,10.0,280.0,28,24,100,0,1,9,0,0.0,911,0
203,basic,10.0,290.0,29,39,73,0,0,7,0,0.0,916,1
204,basic,10.0,260.0,26,41,78,0,0,2,1,6.0,833,0
205,standard,20.0,300.0,15,173,34,0,4,9,0,0.0,462,0
206,basic,10.0,60.0,6,170,83,1,2,8,0,0.0,241,0
207,standard,20.0,340.0,17,189,95,0,0,4,0,0.0,578,0
208,basic,10.0,270.0,27,101,92,0,1,3,0,0.0,872,1
209,standard,20.0,400.0,20,198,58,0,0,2,0,0.0,628,1
210,premium,40.0,600.0,15,165,66,0,0,7,0,0.0,491,0
211,premium,40.0,40.0,1,112,69,0,1,5,0,0.0,71,0
212,basic,10.0,210.0,21,95,86,0,2,5,0,0.0,694,1
213,basic,10.0,270.0,27,149,46,0,1,4,1,6.0,834,1
214,premium,40.0,720.0,18,113,28,0,3,5,0,0.0,540,0
215,basic,10.0,330.0,33,120,63,0,1,7,1,0.0,1029,1
216,premium,40.0,920.0,23,47,69,0,3,5,0,0.0,730,0
217,basic,10.0,280.0,28,144,98,0,1,5,0,0.0,916,1
218,basic,10.0,260.0,26,93,36,0,0,4,0,0.0,786,0
219,basic,10.0,290.0,29,172,116,0,0,6,1,8.0,956,0
220,basic,10.0,250.0,25,74,65,0,0,7,0,0.0,787,1
221,standard,20.0,440.0,22,7,81,0,1,8,1,5.0,711,0
222,standard,20.0,640.0,32,186,66,0,0,6,2,6.0,1002,1
223,standard,20.0,420.0,21,138,110,0,0,11,0,0.0,719,1
224,standard,20.0,360.0,18,179,53,0,0,3,2,5.5,568,0
225,premium,40.0,1320.0,33,73,25,0,0,1,0,0.0,993,0
226,standard,20.0,40.0,2,77,97,0,2,6,0,0.0,128,0
227,standard,20.0,80.0,4,158,41,0,1,5,0,0.0,136,0
228,standard,20.0,20.0,1,160,56,0,0,3,0,0.0,58,0
229,premium,40.0,1200.0,30,168,90,0,1,5,0,0.0,964,0
230,basic,10.0,350.0,35,46,44,0,2,8,0,0.0,1066,0
231,premium,40.0,40.0,1,153,25,0,1,1,0,0.0,34,0
232,premium,40.0,40.0,1,99,86,0,3,7,0,0.0,91,0
233,standard,20.0,140.0,7,85,34,0,0,1,1,1.0,218,1
234,standard,20.0,620.0,31,185,61,2,3,7,0,0.0,962,1
235,basic,10.0,100.0,10,194,95,1,2,6,0,0.0,365,0
236,standard,20.0,180.0,9,184,35,0,6,11,0,0.0,277,0
237,standard,20.0,460.0,23,186,114,0,1,9,1,4.0,779,0
238,standard,20.0,20.0,1,55,107,0,0,1,1,1.0,114,0
239,premium,40.0,320.0,8,85,52,1,2,7,1,9.0,270,0
240,premium,40.0,1200.0,30,131,40,0,2,3,0,0.0,912,0
241,premium,40.0,560.0,14,74,68,0,1,4,0,0.0,463,1
242,basic,10.0,220.0,22,42,99,0,0,1,0,0.0,733,0
243,standard,20.0,100.0,5,87,115,0,0,4,0,0.0,235,1
244,basic,10.0,210.0,21,167,72,0,0,4,0,0.0,681,0
245,premium,40.0,120.0,3,45,91,0,0,4,0,0.0,151,1
246,standard,20.0,440.0,22,126,78,0,1,7,0,0.0,716,0
247,basic,10.0,110.0,11,23,68,0,2,3,0,0.0,368,0
248,standard,20.0,300.0,15,164,110,0,0,7,0,0.0,530,0
249,basic,10.0,210.0,21,119,33,1,7,12,0,0.0,636,0
250,standard,20.0,700.0,35,181,66,0,2,4,0,0.0,1086,0
251,standard,20.0,20.0,1,108,17,0,1,1,0,0.0,18,0
252,standard,20.0,380.0,19,103,86,0,4,8,0,0.0,633,0
253,basic,10.0,240.0,24,95,39,0,1,3,1,7.0,730,0
254,basic,10.0,20.0,2,8,97,0,1,5,0,0.0,134,0
255,premium,40.0,1440.0,36,129,39,0,0,2,0,0.0,1092,0
256,premium,40.0,1320.0,33,172,33,0,2,7,0,0.0,1000,1
257,basic,10.0,170.0,17,27,95,0,1,4,0,0.0,578,1
258,standard,20.0,320.0,16,195,107,0,0,3,0,0.0,565,0
259,standard,20.0,100.0,5,17,32,0,0,3,0,0.0,158,0
260,standard,20.0,340.0,17,178,84,0,0,2,0,0.0,569,0
261,standard,20.0,180.0,9,102,81,0,0,3,0,0.0,323,0
262,basic,10.0,70.0,7,72,54,0,0,2,0,0.0,239,0
263,basic,10.0,240.0,24,130,108,0,0,6,0,0.0,807,0
264,standard,20.0,20.0,1,85,39,0,1,2,0,0.0,39,0
265,standard,20.0,40.0,2,187,26,0,3,5,0,0.0,63,1
266,standard,20.0,160.0,8,160,111,0,1,3,0,0.0,321,0
267,basic,10.0,320.0,32,126,108,0,0,3,1,3.0,1045,0
268,basic,10.0,240.0,24,123,101,0,2,6,0,0.0,796,1
269,standard,20.0,580.0,29,79,107,0,0,4,0,0.0,950,0
270,standard,20.0,220.0,11,119,59,1,4,10,1,7.0,362,0
271,standard,20.0,700.0,35,123,47,0,0,0,0,0.0,1068,0
272,basic,10.0,220.0,22,107,77,0,0,6,0,0.0,715,0
273,basic,10.0,350.0,35,166,63,0,1,3,0,0.0,1092,1
274,basic,10.0,80.0,8,39,42,0,0,5,0,0.0,254,0
275,basic,10.0,200.0,20,25,112,0,4,8,0,0.0,684,0
276,standard,20.0,220.0,11,48,51,0,0,5,0,0.0,356,1
277,basic,10.0,300.0,30,77,32,0,1,7,0,0.0,910,0
278,basic,10.0,10.0,1,149,22,0,2,2,0,0.0,25,0
279,premium,40.0,800.0,20,19,45,0,0,7,0,0.0,623,0
280,standard,20.0,80.0,4,155,49,0,0,4,2,6.5,146,1
281,premium,40.0,40.0,1,41,8,1,1,1,0,0.0,14,0
282,standard,20.0,680.0,34,67,46,0,0,4,0,0.0,1045,0
283,standard,20.0,20.0,1,180,37,0,1,1,0,0.0,39,1
284,standard,20.0,500.0,25,81,57,0,0,4,0,0.0,778,1
285,basic,10.0,20.0,2,66,31,0,1,4,0,0.0,70,0
286,standard,20.0,80.0,4,153,59,0,0,2,0,0.0,151,0
287,standard,20.0,660.0,33,75,49,0,0,4,0,0.0,1011,1
288,basic,10.0,120.0,12,189,105,0,0,9,0,0.0,438,0
289,standard,20.0,640.0,32,69,75,0,2,4,0,0.0,1007,0
290,premium,40.0,920.0,23,116,54,0,0,2,0,0.0,719,0
291,basic,10.0,20.0,2,176,97,0,1,5,0,0.0,130,0
292,basic,10.0,320.0,32,6,100,0,4,11,0,0.0,1035,0
293,standard,20.0,260.0,13,18,86,0,3,6,0,0.0,455,0
294,premium,40.0,240.0,6,142,102,0,4,11,0,0.0,260,0
295,basic,10.0,100.0,10,34,92,0,4,10,0,0.0,363,0
296,basic,10.0,360.0,36,30,41,0,2,5,0,0.0,1094,0
297,basic,10.0,110.0,11,155,46,0,1,3,0,0.0,354,1
298,basic,10.0,310.0,31,116,93,0,1,1,0,0.0,994,0
299,basic,10.0,50.0,5,161,85,0,1,2,0,0.0,214,1
300,basic,10.0,10.0,1,35,7,1,1,1,0,0.0,8,0
301,basic,10.0,10.0,1,123,32,0,4,5,0,0.0,38,0
302,premium,40.0,320.0,8,24,27,0,2,7,0,0.0,246,0
303,basic,10.0,240.0,24,86,34,0,2,8,0,0.0,725,1
304,basic,10.0,20.0,2,63,114,0,0,7,0,0.0,145,1
305,basic,10.0,130.0,13,45,96,0,3,8,0,0.0,459,1
306,basic,10.0,190.0,19,195,25,0,2,6,0,0.0,573,0
307,standard,20.0,300.0,15,126,25,1,4,8,0,0.0,452,0
308,basic,10.0,280.0,28,23,100,0,3,8,0,0.0,911,0
309,standard,20.0,640.0,32,43,22,0,3,5,1,8.0,960,0
310,standard,20.0,300.0,15,161,84,0,2,7,0,0.0,511,0
311,basic,10.0,140.0,14,73,86,0,0,6,0,0.0,478,1
312,basic,10.0,190.0,19,198,84,0,0,7,1,1.0,629,1
313,basic,10.0,110.0,11,180,24,1,3,5,0,0.0,330,1
314,premium,40.0,1200.0,30,182,41,0,0,7,0,0.0,917,1
315,standard,20.0,400.0,20,148,28,1,5,8,0,0.0,606,0
316,standard,20.0,580.0,29,194,71,0,0,4,0,0.0,914,0
317,premium,40.0,840.0,21,118,33,0,1,6,0,0.0,640,0
318,standard,20.0,520.0,26,19,60,1,2,7,0,0.0,813,0
319,standard,20.0,160.0,8,132,112,0,0,8,0,0.0,322,1
320,basic,10.0,10.0,1,190,63,1,3,4,0,0.0,63,1
321,basic,10.0,100.0,10,129,56,0,0,3,0,0.0,328,1
322,basic,10.0,10.0,1,173,9,3,4,4,0,0.0,15,1
323,basic,10.0,310.0,31,181,58,0,1,5,0,0.0,965,1
324,standard,20.0,180.0,9,23,80,0,1,6,0,0.0,325,1
325,premium,40.0,1040.0,26,177,27,1,3,6,0,0.0,780,0
326,standard,20.0,160.0,8,159,89,1,6,10,0,0.0,304,0
327,premium,40.0,680.0,17,75,71,0,1,4,0,0.0,551,1
328,basic,10.0,90.0,9,104,47,0,1,4,0,0.0,293,1
329,basic,10.0,300.0,30,195,93,0,1,8,0,0.0,967,0
330,premium,40.0,600.0,15,58,104,0,0,5,0,0.0,529,0
331,basic,10.0,210.0,21,38,42,0,1,6,0,0.0,650,0
332,standard,20.0,560.0,28,165,85,0,2,7,0,0.0,901,0
333,basic,10.0,270.0,27,43,74,0,1,5,0,0.0,863,0
334,premium,40.0,160.0,4,139,35,0,2,7,0,0.0,134,0
335,standard,20.0,200.0,10,69,103,0,0,2,0,0.0,375,0
336,standard,20.0,60.0,3,140,64,0,2,4,0,0.0,131,0
337,basic,10.0,120.0,12,185,93,0,2,5,0,0.0,424,1
338,basic,10.0,100.0,10,172,43,0,4,10,1,1.0,319,1
339,basic,10.0,30.0,3,145,67,0,3,13,0,0.0,128,1
340,premium,40.0,40.0,1,189,69,0,1,2,0,0.0,73,0
341,basic,10.0,340.0,34,121,39,0,1,2,0,0.0,1035,0
342,basic,10.0,10.0,1,143,14,1,1,1,0,0.0,22,1
343,standard,20.0,280.0,14,51,60,0,0,3,0,0.0,454,0
344,standard,20.0,360.0,18,44,26,0,2,8,0,0.0,544,0
345,standard,20.0,120.0,6,159,28,1,2,7,0,0.0,183,1
346,basic,10.0,70.0,7,120,78,0,0,2,0,0.0,266,1
347,basic,10.0,250.0,25,26,68,0,3,11,0,0.0,791,0
348,basic,10.0,120.0,12,169,87,1,3,7,1,6.0,420,1
349,basic,10.0,110.0,11,97,96,0,0,5,1,0.0,403,1
350,basic,10.0,320.0,32,45,39,0,1,5,0,0.0,970,0
351,premium,40.0,1280.0,32,100,110,0,0,3,0,0.0,1048,0
352,standard,20.0,440.0,22,77,112,0,0,2,0,0.0,749,1
353,standard,20.0,180.0,9,148,56,0,2,7,0,0.0,305,0
354,premium,40.0,1360.0,34,0,26,0,1,7,0,0.0,1021,0
355,basic,10.0,80.0,8,184,59,1,5,7,0,0.0,271,0
356,basic,10.0,40.0,4,71,27,0,0,5,0,0.0,124,0
357,standard,20.0,400.0,20,134,103,0,1,6,0,0.0,682,0
358,standard,20.0,660.0,33,2,111,0,0,1,0,0.0,1071,0
359,basic,10.0,110.0,11,169,27,0,2,10,0,0.0,332,1
360,basic,10.0,140.0,14,199,114,0,1,5,0,0.0,507,1
361,basic,10.0,70.0,7,56,90,0,0,0,1,5.0,273,0
362,basic,10.0,290.0,29,85,54,0,0,5,0,0.0,901,0
363,basic,10.0,210.0,21,136,58,0,0,0,0,0.0,658,0
364,basic,10.0,290.0,29,56,95,0,2,7,0,0.0,935,0
365,basic,10.0,300.0,30,160,112,0,1,8,1,8.0,985,1
366,standard,20.0,600.0,30,91,41,0,0,2,0,0.0,914,1
367,basic,10.0,150.0,15,59,111,0,0,7,1,0.0,536,0
368,standard,20.0,60.0,3,123,71,0,1,2,0,0.0,135,1
369,standard,20.0,560.0,28,60,48,0,0,3,0,0.0,864,1
370,basic,10.0,170.0,17,85,67,0,0,7,0,0.0,554,0
371,basic,10.0,100.0,10,69,107,0,1,4,0,0.0,383,0
372,standard,20.0,440.0,22,180,85,1,2,5,0,0.0,722,1
373,basic,10.0,360.0,36,115,34,0,1,3,0,0.0,1091,1
374,basic,10.0,10.0,1,168,-7,3,3,3,0,0.0,1,0
375,basic,10.0,90.0,9,3,98,0,1,4,0,0.0,340,0
376,premium,40.0,560.0,14,194,100,0,0,5,2,4.0,498,1
377,basic,10.0,230.0,23,182,61,0,1,3,0,0.0,730,1
378,standard,20.0,500.0,25,58,36,0,1,1,0,0.0,763,0
379,premium,40.0,1000.0,25,110,24,1,2,7,0,0.0,753,1
380,basic,10.0,210.0,21,54,82,1,3,6,0,0.0,690,0
381,premium,40.0,480.0,12,88,99,0,3,7,0,0.0,429,1
382,basic,10.0,100.0,10,146,57,0,0,4,0,0.0,334,1
383,basic,10.0,70.0,7,180,84,0,1,3,0,0.0,264,0
384,basic,10.0,320.0,32,88,31,1,2,5,0,0.0,964,0
385,basic,10.0,230.0,23,48,77,0,0,6,0,0.0,746,0
386,basic,10.0,60.0,6,67,107,0,0,3,0,0.0,265,0
387,basic,10.0,90.0,9,155,104,0,1,5,0,0.0,351,1
388,standard,20.0,60.0,3,140,61,0,2,7,0,0.0,128,1
389,basic,10.0,300.0,30,112,82,0,1,5,0,0.0,955,1
390,basic,10.0,170.0,17,57,92,0,1,7,0,0.0,575,0
391,basic,10.0,260.0,26,149,102,0,0,3,0,0.0,858,1
392,standard,20.0,380.0,19,134,72,0,0,3,0,0.0,617,0
393,basic,10.0,70.0,7,186,73,0,0,5,1,7.0,259,1
394,standard,20.0,620.0,31,116,31,0,2,7,0,0.0,939,0
