customer_id,churn_prob,cltv_pred,top_shap_feature,priority_score
1629,0.76,157.5,tenure_days,119.7
97,0.85,140.7,tenure_days,119.59499999999998
209,0.835,143.1,recency_days,119.48849999999999
7,0.795,150.0,tenure_days,119.25
2433,0.785,151.9,tenure_days,119.24150000000002
2565,0.77,153.7,tenure_days,118.34899999999999
2377,0.83,141.3,tenure_days,117.27900000000001
223,0.815,143.6,tenure_days,117.03399999999999
1138,0.71,164.5,recency_days,116.79499999999999
468,0.345,338.2,total_amount,116.67899999999999
1309,0.71,163.8,tenure_days,116.298
2524,0.78,149.0,recency_days,116.22
724,0.785,147.9,tenure_days,116.10150000000002
2820,0.87,133.4,tenure_days,116.058
352,0.77,150.6,tenure_days,115.962
1359,0.78,147.9,tenure_days,115.36200000000001
127,0.68,169.5,tenure_days,115.26
186,0.795,144.8,tenure_days,115.11600000000001
2892,0.645,178.1,tenure_days,114.8745
2769,0.735,155.6,total_amount,114.366
1579,0.735,155.5,tenure_days,114.2925
2309,0.845,135.2,recency_days,114.24399999999999
1743,0.675,168.5,tenure_days,113.73750000000001
65,0.7,161.3,tenure_days,112.91
2098,0.77,146.4,tenure_days,112.72800000000001
1597,0.66,169.5,total_amount,111.87
2621,0.86,129.8,tenure_days,111.62800000000001
722,0.755,147.8,tenure_days,111.58900000000001
2477,0.32,348.2,total_amount,111.42399999999999
620,0.78,142.8,recency_days,111.38400000000001
71,0.935,119.0,tenure_days,111.265
179,0.835,133.2,tenure_days,111.22199999999998
1797,0.51,217.8,total_amount,111.078
243,0.785,141.4,tenure_days,110.99900000000001
2014,0.71,155.0,tenure_days,110.05
973,0.715,153.9,tenure_days,110.0385
39,0.71,154.9,tenure_days,109.979
160,0.88,124.8,recency_days,109.824
2637,0.815,134.7,tenure_days,109.78049999999999
287,0.675,162.6,tenure_days,109.75500000000001
2395,0.77,142.5,tenure_days,109.72500000000001
1906,0.645,169.3,recency_days,109.19850000000001
2905,0.345,316.4,total_amount,109.15799999999999
2627,0.81,134.6,tenure_days,109.026
1773,0.775,140.4,tenure_days,108.81
233,0.675,160.8,tenure_days,108.54000000000002
1235,0.86,125.6,tenure_days,108.01599999999999
2338,0.77,140.1,tenure_days,107.877
890,0.73,147.4,total_amount,107.602
2186,0.68,157.9,tenure_days,107.37200000000001
608,0.725,147.8,tenure_days,107.155
2323,0.785,136.3,tenure_days,106.9955
2479,0.77,138.2,tenure_days,106.41399999999999
887,0.4,265.6,total_amount,106.24000000000001
2908,0.695,152.4,tenure_days,105.91799999999999
345,0.785,134.9,tenure_days,105.8965
2512,0.335,315.2,total_amount,105.592
72,0.685,153.2,tenure_days,104.94200000000001
2862,0.75,139.2,tenure_days,104.39999999999999
182,0.765,136.1,tenure_days,104.1165
2488,0.4,259.8,total_amount,103.92000000000002
98,0.76,136.5,tenure_days,103.74
659,0.55,188.5,recency_days,103.67500000000001
